Entity,Code,Year,Period life expectancy at birth,GDP per capita,900793-annotations,Population (historical)
Afghanistan,AFG,1950,28.1563,1156,,7776133
Afghanistan,AFG,1958,31.84,1298,,8723366
Afghanistan,AFG,1959,32.3365,1307,,8869225
Afghanistan,AFG,1960,32.7987,1326,,9034994
Afghanistan,AFG,1970,37.4601,1272,,11290086
Afghanistan,AFG,1980,39.2581,1019,,13169267
Afghanistan,AFG,1990,45.1183,963,,12045622
Afghanistan,AFG,2000,55.0047,502.37274,,20130279
Afghanistan,AFG,2010,60.7018,1627.6716,,28284036
Afghanistan,AFG,2019,62.9411,2031.7373,,37856071
Afghanistan,AFG,2020,61.4537,1928.4547,,39068933
Afghanistan,AFG,2023,66.0346,,,41454709
Afghanistan,AFG,1800,,,,3280000
Afghanistan,AFG,1850,,,,3752993
Afghanistan,AFG,1900,,,,4707744
Afghanistan,AFG,1910,,,,5504191
Afghanistan,AFG,1918,,,,9529174
Afghanistan,AFG,1920,,,,10188845
Afghanistan,AFG,1930,,,,6626142
Afghanistan,AFG,1940,,,,6468510
Africa,,1950,37.2455,,,227774209
Africa,,1958,40.2405,,,271039304
Africa,,1959,41.194,,,277269259
Africa,,1960,41.3961,,,283919591
Africa,,1970,44.9859,,,365549406
Africa,,1980,49.4094,,,483048897
Africa,,1990,51.6566,,,643772468
Africa,,2000,53.667,,,830579986
Africa,,2010,58.7703,,,1072213852
Africa,,2019,62.449,,,1348002902
Africa,,2020,62.2572,,,1380818597
Africa,,2023,63.8428,,,1480767898
Africa,,1800,,,,81273172
Africa,,1850,,,,112301163
Africa,,1900,,,,138755559
Africa,,1910,,,,144068383
Africa,,1918,,,,148892208
Africa,,1920,,,,150865200
Africa,,1930,,,,169928217
Africa,,1940,,,,193310936
Africa (UN),,1950,,,,227776368
Africa (UN),,1958,,,,271041689
Africa (UN),,1959,,,,277271556
Africa (UN),,1960,,,,283921898
Africa (UN),,1970,,,,365551819
Africa (UN),,1980,,,,483051340
Africa (UN),,1990,,,,643774979
Africa (UN),,2000,,,,830582475
Africa (UN),,2010,,,,1072216450
Africa (UN),,2019,,,,1348005440
Africa (UN),,2020,,,,1380821116
Africa (UN),,2023,,,,1480770476
Akrotiri and Dhekelia,OWID_AKD,1800,,,,3710
Aland Islands,ALA,2023,,,,
Albania,ALB,1950,44.5214,1596,,1247805
Albania,ALB,1958,53.7357,2114,,1543926
Albania,ALB,1959,55.13,2201,,1594983
Albania,ALB,1960,56.4132,2313,,1649347
Albania,ALB,1970,65.2343,3194,,2181184
Albania,ALB,1980,69.903,3741,,2735375
Albania,ALB,1990,72.7096,3983,,3277919
Albania,ALB,2000,74.8262,4808.4795,,3166104
Albania,ALB,2010,78.4141,9222.973,,2928681
Albania,ALB,2019,79.4669,11715.307,,2884969
Albania,ALB,2020,77.8241,11372.541,,2871900
Albania,ALB,2023,79.6019,,,2811615
Albania,ALB,1900,,1092,,805974
Albania,ALB,1910,,1243,,881057
Albania,ALB,1800,,,,400000
Albania,ALB,1850,,,,501490
Albania,ALB,1918,,,,929879
Albania,ALB,1920,,,,941221
Albania,ALB,1930,,,,995454
Albania,ALB,1940,,,,1100833
Algeria,DZA,1950,42.6787,2176,,9018372
Algeria,DZA,1958,40.9028,2740,,10953584
Algeria,DZA,1959,40.8828,3178,,11189572
Algeria,DZA,1960,40.8388,3328,,11424876
Algeria,DZA,1970,43.328,3585,,13783680
Algeria,DZA,1980,54.5124,5024,,18607122
Algeria,DZA,1990,67.6584,4697,,25375759
Algeria,DZA,2000,70.5759,6834.5537,,30903850
Algeria,DZA,2010,74.1435,12587.744,,36188192
Algeria,DZA,2019,75.6818,14000.279,,43294503
Algeria,DZA,2020,73.2568,13086.293,,44042041
Algeria,DZA,2023,76.261,,,46164169
Algeria,DZA,1800,,,,2500000
Algeria,DZA,1850,,,,2852648
Algeria,DZA,1900,,,,4721802
Algeria,DZA,1910,,,,5497750
Algeria,DZA,1918,,,,5766569
Algeria,DZA,1920,,,,5846192
Algeria,DZA,1930,,,,6530132
Algeria,DZA,1940,,,,7739370
American Samoa,ASM,1950,59.1675,,,19025
American Samoa,ASM,1958,63.5517,,,19915
American Samoa,ASM,1959,64.3203,,,19895
American Samoa,ASM,1960,65.0534,,,20117
American Samoa,ASM,1970,66.3642,,,27011
American Samoa,ASM,1980,69.4132,,,32389
American Samoa,ASM,1990,71.1074,,,46620
American Samoa,ASM,2000,71.4429,,,56828
American Samoa,ASM,2010,72.5866,,,55204
American Samoa,ASM,2019,72.7511,,,50189
American Samoa,ASM,2020,72.6717,,,49732
American Samoa,ASM,2023,72.8518,,,47499
American Samoa,ASM,1800,,,,3005
American Samoa,ASM,1850,,,,3927
American Samoa,ASM,1900,,,,6639
American Samoa,ASM,1910,,,,7469
American Samoa,ASM,1920,,,,8963
American Samoa,ASM,1930,,,,10756
American Samoa,ASM,1940,,,,12908
Americas,,1850,35.1,,,
Americas,,1900,41,,,
Americas,,1950,56.5028,,,
Americas,,1958,60.0883,,,
Americas,,1959,60.5007,,,
Americas,,1960,60.7932,,,
Americas,,1970,63.1495,,,
Americas,,1980,67.247,,,
Americas,,1990,70.5909,,,
Americas,,2000,73.247,,,
Americas,,2010,75.4472,,,
Americas,,2019,76.857,,,
Americas,,2020,74.9717,,,
Americas,,2023,77.2922,,,
Americas (UN),,1950,,,,335791442
Americas (UN),,1958,,,,398992297
Americas (UN),,1959,,,,408076995
Americas (UN),,1960,,,,417520467
Americas (UN),,1970,,,,515080483
Americas (UN),,1980,,,,614995512
Americas (UN),,1990,,,,723166976
Americas (UN),,2000,,,,833823280
Americas (UN),,2010,,,,934293843
Americas (UN),,2019,,,,1017894550
Americas (UN),,2020,,,,1024463690
Americas (UN),,2023,,,,1041794207
Andorra,AND,1950,67.1591,,,5979
Andorra,AND,1958,71.1759,,,8048
Andorra,AND,1959,71.6151,,,8753
Andorra,AND,1960,72.0941,,,9498
Andorra,AND,1970,74.452,,,19953
Andorra,AND,1980,77.1371,,,35754
Andorra,AND,1990,78.9608,,,52573
Andorra,AND,2000,81.8633,,,65653
Andorra,AND,2010,84.1974,,,80679
Andorra,AND,2019,84.098,,,76436
Andorra,AND,2020,79.4177,,,77343
Andorra,AND,2023,84.0406,,,80825
Andorra,AND,1800,,,,2654
Andorra,AND,1850,,,,3278
Andorra,AND,1900,,,,4522
Andorra,AND,1910,,,,4855
Andorra,AND,1918,,,,5557
Andorra,AND,1920,,,,5637
Andorra,AND,1930,,,,4885
Andorra,AND,1940,,,,5337
Angola,AGO,1940,26.98,,,3752594
Angola,AGO,1950,35.8661,1677,,4551815
Angola,AGO,1958,37.4746,1978,,5061086
Angola,AGO,1959,37.6939,1953,,5145059
Angola,AGO,1960,37.933,1997,,5231614
Angola,AGO,1970,39.6882,2818,,5852739
Angola,AGO,1980,42.2415,1532,,8133821
Angola,AGO,1990,41.8542,1384,,11626308
Angola,AGO,2000,46.5005,2013.6362,,16194813
Angola,AGO,2010,57.242,7520.6655,,23294781
Angola,AGO,2019,63.0511,6886.954,,32375581
Angola,AGO,2020,63.1164,6279.929,,33451100
Angola,AGO,2023,64.617,,,36749852
Angola,AGO,1800,,,,1567028
Angola,AGO,1850,,,,2418020
Angola,AGO,1900,,,,3101503
Angola,AGO,1910,,,,2906100
Angola,AGO,1918,,,,2829072
Angola,AGO,1920,,,,2838595
Angola,AGO,1930,,,,3255737
Anguilla,AIA,1950,55.0563,,,4981
Anguilla,AIA,1958,59.2601,,,5781
Anguilla,AIA,1959,59.8471,,,5761
Anguilla,AIA,1960,58.8326,,,5759
Anguilla,AIA,1970,65.0005,,,6286
Anguilla,AIA,1980,68.919,,,6561
Anguilla,AIA,1990,72.0868,,,8381
Anguilla,AIA,2000,75.1471,,,11151
Anguilla,AIA,2010,77.2078,,,13331
Anguilla,AIA,2019,78.4253,,,14798
Anguilla,AIA,2020,78.6562,,,14831
Anguilla,AIA,2023,79.3115,,,14391
Anguilla,AIA,1800,,,,2654
Anguilla,AIA,1850,,,,3071
Anguilla,AIA,1900,,,,3980
Anguilla,AIA,1910,,,,4160
Anguilla,AIA,1920,,,,4187
Anguilla,AIA,1930,,,,4994
Anguilla,AIA,1940,,,,5533
Antigua and Barbuda,ATG,1950,58.0996,,,45421
Antigua and Barbuda,ATG,1958,61.594,,,53427
Antigua and Barbuda,ATG,1959,62.129,,,54506
Antigua and Barbuda,ATG,1960,62.6351,,,55582
Antigua and Barbuda,ATG,1970,69.3709,,,64508
Antigua and Barbuda,ATG,1980,73.0936,,,64478
Antigua and Barbuda,ATG,1990,73.6024,,,63032
Antigua and Barbuda,ATG,2000,74.8191,,,74881
Antigua and Barbuda,ATG,2010,76.7013,,,85286
Antigua and Barbuda,ATG,2019,77.1681,,,91328
Antigua and Barbuda,ATG,2020,77.1613,,,91818
Antigua and Barbuda,ATG,2023,77.5976,,,93293
Antigua and Barbuda,ATG,1800,,,,37000
Antigua and Barbuda,ATG,1850,,,,37000
Antigua and Barbuda,ATG,1900,,,,34575
Antigua and Barbuda,ATG,1910,,,,31659
Antigua and Barbuda,ATG,1918,,,,29977
Antigua and Barbuda,ATG,1920,,,,29765
Antigua and Barbuda,ATG,1930,,,,31089
Antigua and Barbuda,ATG,1940,,,,40909
Argentina,ARG,1900,39,4583,,4685089
Argentina,ARG,1910,44.2,6092,,6748544
Argentina,ARG,1920,48.65,5536,,8818354
Argentina,ARG,1930,52.55,6503,,11726853
Argentina,ARG,1940,56.45,6633,,14078649
Argentina,ARG,1950,61.2746,7949,,17017981
Argentina,ARG,1958,64.2017,9083,,19714205
Argentina,ARG,1959,64.0997,8354,,20049554
Argentina,ARG,1960,64.2423,8861,,20386005
Argentina,ARG,1970,65.6474,11639,,23878281
Argentina,ARG,1980,68.5761,13080,,28011548
Argentina,ARG,1990,71.6145,10254,,32755859
Argentina,ARG,2000,73.91,14368.942,,37213933
Argentina,ARG,2010,75.68,18979.992,,41288642
Argentina,ARG,2019,76.8475,17912.637,,44973412
Argentina,ARG,2020,75.8781,15975.839,,45191917
Argentina,ARG,2023,77.3947,,,45538356
Argentina,ARG,1800,,1484,,534000
Argentina,ARG,1850,,1994,,1088372
Argentina,ARG,1918,,5177,,8354021
Armenia,ARM,1950,54.5541,,,1382852
Armenia,ARM,1958,58.2486,,,1740847
Armenia,ARM,1959,58.6909,,,1800970
Armenia,ARM,1960,59.1303,,,1863664
Armenia,ARM,1970,62.7596,,,2475580
Armenia,ARM,1980,65.3623,9291,,3107375
Armenia,ARM,1990,67.7332,9669,,3552069
Armenia,ARM,2000,70.8123,5139.8257,,3125566
Armenia,ARM,2010,72.9381,8330.812,,2931041
Armenia,ARM,2019,75.1931,12399.231,,2903922
Armenia,ARM,2020,68.8898,11546.176,,2890849
Armenia,ARM,2023,75.6827,,,2943346
Armenia,ARM,1800,,,,413326
Armenia,ARM,1850,,,,543681
Armenia,ARM,1900,,,,863227
Armenia,ARM,1910,,,,946846
Armenia,ARM,1918,,,,1019423
Armenia,ARM,1920,,,,1038218
Armenia,ARM,1930,,,,1137524
Armenia,ARM,1940,,,,1246328
Aruba,ABW,1950,57.9872,,,42718
Aruba,ABW,1958,63.1536,,,52648
Aruba,ABW,1959,63.6106,,,53964
Aruba,ABW,1960,64.0488,,,54891
Aruba,ABW,1970,67.4402,,,58916
Aruba,ABW,1980,70.7712,,,61998
Aruba,ABW,1990,72.546,,,64410
Aruba,ABW,2000,72.9393,,,88729
Aruba,ABW,2010,74.2973,,,100082
Aruba,ABW,2019,76.0193,,,107048
Aruba,ABW,2020,75.4061,,,107360
Aruba,ABW,2023,76.353,,,107904
Aruba,ABW,1800,,,,2204
Aruba,ABW,1850,,,,2720
Aruba,ABW,1900,,,,9600
Aruba,ABW,1910,,,,9420
Aruba,ABW,1920,,,,8600
Aruba,ABW,1930,,,,13545
Aruba,ABW,1940,,,,30399
Asia,,1900,28,,,931021418
Asia,,1950,41.9565,,,1367579481
Asia,,1958,47.9095,,,1631864404
Asia,,1959,44.5468,,,1664695099
Asia,,1960,41.7925,,,1691760355
Asia,,1970,54.0354,,,2136909351
Asia,,1980,59.4646,,,2631641160
Asia,,1990,63.964,,,3209092004
Asia,,2000,67.6072,,,3746830370
Asia,,2010,71.3792,,,4238692440
Asia,,2019,74.0468,,,4651096247
Asia,,2020,73.6064,,,4686808823
Asia,,2023,74.5661,,,4776657166
Asia,,1800,,,,683181540
Asia,,1850,,,,825539753
Asia,,1910,,,,999734197
Asia,,1918,,,,1060455454
Asia,,1920,,,,1076882587
Asia,,1930,,,,1161422369
Asia,,1940,,,,1288504299
Asia (UN),,1950,,,,1368075360
Asia (UN),,1958,,,,1632429785
Asia (UN),,1959,,,,1665271717
Asia (UN),,1960,,,,1692348870
Asia (UN),,1970,,,,2137558990
Asia (UN),,1980,,,,2632326489
Asia (UN),,1990,,,,3209882544
Asia (UN),,2000,,,,3747780266
Asia (UN),,2010,,,,4239822624
Asia (UN),,2019,,,,4652385211
Asia (UN),,2020,,,,4688113308
Asia (UN),,2023,,,,4778004427
Australia,AUS,1930,64.9,7504,,6332771
Australia,AUS,1940,66.16,9828,,6967916
Australia,AUS,1950,69,11815,,8176704
Australia,AUS,1958,70.8606,13238,,9847590
Australia,AUS,1959,70.445,13753,,10059986
Australia,AUS,1960,70.8652,14013,,10280765
Australia,AUS,1970,70.6534,19166,,12599361
Australia,AUS,1980,74.5655,22972,,14721295
Australia,AUS,1990,77.0414,27373,,17126249
Australia,AUS,2000,79.6207,36603.047,,19132426
Australia,AUS,2010,82.0132,45400.223,,22141527
Australia,AUS,2019,83.2412,49814.67,,25482660
Australia,AUS,2020,83.6639,48268.945,,25743732
Australia,AUS,2023,83.9228,,,26451074
Australia,AUS,1850,,3148,,622584
Australia,AUS,1900,,6397,,3693331
Australia,AUS,1910,,8305,,4329018
Australia,AUS,1918,,7336,,5069291
Australia,AUS,1920,,7597,,5274343
Australia,AUS,1800,,,,200000
Austria,AUT,1950,64.8131,5907,,6936410
Austria,AUT,1958,68.4551,9416,,6987292
Austria,AUT,1959,68.3921,9645,,7014220
Austria,AUT,1960,68.7468,10391,,7047228
Austria,AUT,1970,70.086,15537,,7466271
Austria,AUT,1980,72.6676,21932,,7548355
Austria,AUT,1990,75.7385,26930,,7679582
Austria,AUT,2000,78.235,34796.258,,8012872
Austria,AUT,2010,80.4634,40288.348,,8365050
Austria,AUT,2019,81.9072,43488.668,,8880830
Austria,AUT,2020,81.8037,40503.04,,8921362
Austria,AUT,2023,81.9559,,,9130386
Austria,AUT,1850,,2630,,3952208
Austria,AUT,1900,,4594,,5979176
Austria,AUT,1910,,5244,,6571587
Austria,AUT,1918,,4073,,6494625
Austria,AUT,1920,,3845,,6486069
Austria,AUT,1930,,5716,,6679644
Austria,AUT,1940,,6311,,6725734
Austria,AUT,1800,,,,3000000
Austria-Hungary,OWID_AUH,2023,,,,
Azerbaijan,AZE,1950,46.2883,,,3131945
Azerbaijan,AZE,1958,49.6874,,,3750647
Azerbaijan,AZE,1959,50.2585,,,3862776
Azerbaijan,AZE,1960,50.8616,,,3982659
Azerbaijan,AZE,1970,56.5859,,,5183768
Azerbaijan,AZE,1980,61.4333,7165,,6284662
Azerbaijan,AZE,1990,62.7504,7394,,7231035
Azerbaijan,AZE,2000,65.3772,4214.8887,,8174736
Azerbaijan,AZE,2010,70.3088,16153.837,,9146807
Azerbaijan,AZE,2019,73.29,17029.906,,10110446
Azerbaijan,AZE,2020,70.3116,16189.511,,10181688
Azerbaijan,AZE,2023,74.4286,,,10318161
Azerbaijan,AZE,1800,,,,879960
Azerbaijan,AZE,1850,,,,1157483
Azerbaijan,AZE,1900,,,,1938032
Azerbaijan,AZE,1910,,,,2147611
Azerbaijan,AZE,1918,,,,2328660
Azerbaijan,AZE,1920,,,,2371595
Azerbaijan,AZE,1930,,,,2598437
Azerbaijan,AZE,1940,,,,2846977
Bahamas,BHS,1950,58.8933,,,83468
Bahamas,BHS,1958,61.7374,,,105961
Bahamas,BHS,1959,62.0846,,,110881
Bahamas,BHS,1960,62.4539,,,116284
Bahamas,BHS,1970,66.1634,,,184949
Bahamas,BHS,1980,69.0905,,,232498
Bahamas,BHS,1990,70.9449,,,275910
Bahamas,BHS,2000,72.4812,,,323804
Bahamas,BHS,2010,73.4487,,,367432
Bahamas,BHS,2019,71.4084,,,394631
Bahamas,BHS,2020,72.9936,,,395827
Bahamas,BHS,2023,74.5518,,,399410
Bahamas,BHS,1800,,,,27350
Bahamas,BHS,1850,,,,28369
Bahamas,BHS,1900,,,,58828
Bahamas,BHS,1910,,,,62021
Bahamas,BHS,1918,,,,60387
Bahamas,BHS,1920,,,,60371
Bahamas,BHS,1930,,,,67687
Bahamas,BHS,1940,,,,77209
Bahrain,BHR,1950,38.6019,3354,,117226
Bahrain,BHR,1958,47.2764,4366,,152780
Bahrain,BHR,1959,48.9511,4457,,158891
Bahrain,BHR,1960,50.634,4532,,165452
Bahrain,BHR,1970,64.3585,6038,,224763
Bahrain,BHR,1980,70.6844,6994,,358943
Bahrain,BHR,1990,72.5867,6542,,514755
Bahrain,BHR,2000,74.6726,17021.723,,669543
Bahrain,BHR,2010,78.5933,34057.715,,1213201
Bahrain,BHR,2019,80.4706,39499.707,,1485632
Bahrain,BHR,2020,78.6833,36890.504,,1483026
Bahrain,BHR,2023,81.2835,,,1569625
Bahrain,BHR,1800,,,,64474
Bahrain,BHR,1850,,,,64474
Bahrain,BHR,1900,,,,77042
Bahrain,BHR,1910,,,,83407
Bahrain,BHR,1918,,,,111150
Bahrain,BHR,1920,,,,117143
Bahrain,BHR,1930,,,,119805
Bahrain,BHR,1940,,,,119490
Bangladesh,BGD,1950,37.4114,861,,41206802
Bangladesh,BGD,1958,43.0829,813,,49184012
Bangladesh,BGD,1959,43.7158,838,,50441720
Bangladesh,BGD,1960,43.9795,869,,51828616
Bangladesh,BGD,1970,42.6672,1004,,69058849
Bangladesh,BGD,1980,52.2778,875,,88016388
Bangladesh,BGD,1990,55.8219,1006,,111633674
Bangladesh,BGD,2000,62.0487,1485.3092,,134544254
Bangladesh,BGD,2010,68.0091,2599.2083,,152201922
Bangladesh,BGD,2019,72.6254,4242.7515,,164913011
Bangladesh,BGD,2020,71.4211,4418.9644,,166297978
Bangladesh,BGD,2023,74.6723,,,171466945
Bangladesh,BGD,1800,,,,19191243
Bangladesh,BGD,1850,,,,22712211
Bangladesh,BGD,1900,,,,26849595
Bangladesh,BGD,1910,,,,27913022
Bangladesh,BGD,1918,,,,28395953
Bangladesh,BGD,1920,,,,28623503
Bangladesh,BGD,1930,,,,30077163
Bangladesh,BGD,1940,,,,36071677
Barbados,BRB,1950,53.5923,3390,,209878
Barbados,BRB,1958,62.4496,4855,,227226
Barbados,BRB,1959,63.3071,5053,,228741
Barbados,BRB,1960,64.1488,5316,,230851
Barbados,BRB,1970,68.5182,10197,,249353
Barbados,BRB,1980,72.1289,12318,,251487
Barbados,BRB,1990,73.4625,12994,,258536
Barbados,BRB,2000,74.5803,12600.022,,262028
Barbados,BRB,2010,75.4882,11954.322,,275193
Barbados,BRB,2019,76.4951,12040.277,,281162
Barbados,BRB,2020,76.6465,10487.387,,281654
Barbados,BRB,2023,76.1782,,,282302
Barbados,BRB,1800,,,,81729
Barbados,BRB,1850,,,,135605
Barbados,BRB,1900,,,,193451
Barbados,BRB,1910,,,,172186
Barbados,BRB,1918,,,,159654
Barbados,BRB,1920,,,,158593
Barbados,BRB,1930,,,,173809
Barbados,BRB,1940,,,,193407
Belarus,BLR,1900,36.2,,,4986216
Belarus,BLR,1950,58.6416,,,7127548
Belarus,BLR,1958,66.6311,,,7944044
Belarus,BLR,1959,67.987,,,8081274
Belarus,BLR,1960,69.3223,,,8207950
Belarus,BLR,1970,71.6772,,,9014853
Belarus,BLR,1980,70.7483,9487,,9603126
Belarus,BLR,1990,71.1446,11467,,10186209
Belarus,BLR,2000,68.4637,9110.9795,,9991254
Belarus,BLR,2010,70.5005,17172.46,,9490705
Belarus,BLR,2019,74.2555,19130.395,,9435364
Belarus,BLR,2020,72.269,19053.156,,9350896
Belarus,BLR,2023,74.4339,,,9115626
Belarus,BLR,1800,,,,2355081
Belarus,BLR,1850,,,,3097828
Belarus,BLR,1910,,,,5483965
Belarus,BLR,1918,,,,5915408
Belarus,BLR,1920,,,,6024473
Belarus,BLR,1930,,,,6600712
Belarus,BLR,1940,,,,7232068
Belgium,BEL,1850,42.3,2944,,4443056
Belgium,BEL,1900,46.69,5947,,6705987
Belgium,BEL,1910,51.31,6478,,7427418
Belgium,BEL,1920,54.01,6315,,7551028
Belgium,BEL,1930,57.1,7936,,8029570
Belgium,BEL,1940,55.96,7272,,8315772
Belgium,BEL,1950,66.3066,8706,,8617394
Belgium,BEL,1958,69.9086,10268,,8986075
Belgium,BEL,1959,70.3138,10533,,9045691
Belgium,BEL,1960,69.6237,11081,,9102115
Belgium,BEL,1970,70.9368,16914,,9630468
Belgium,BEL,1980,73.2416,23060,,9833043
Belgium,BEL,1990,76.0586,27412,,9960924
Belgium,BEL,2000,77.7684,33719.77,,10251672
Belgium,BEL,2010,80.04,37739.33,,10936569
Belgium,BEL,2019,81.8353,41155.527,,11490570
Belgium,BEL,2020,80.7977,38763.44,,11540055
Belgium,BEL,2023,82.115,,,11712836
Belgium,BEL,1918,,4560,,7513025
Belgium,BEL,1800,,,,3250000
Belize,BLZ,1950,49.205,,,69045
Belize,BLZ,1958,55.7045,,,86627
Belize,BLZ,1959,56.5842,,,88968
Belize,BLZ,1960,57.3886,,,91292
Belize,BLZ,1970,63.0436,,,120701
Belize,BLZ,1980,66.8841,,,145029
Belize,BLZ,1990,69.5692,,,183049
Belize,BLZ,2000,68.9108,,,240769
Belize,BLZ,2010,70.8753,,,320203
Belize,BLZ,2019,72.5766,,,385784
Belize,BLZ,2020,71.5801,,,390775
Belize,BLZ,2023,73.5656,,,411073
Belize,BLZ,1800,,,,25526
Belize,BLZ,1850,,,,25881
Belize,BLZ,1900,,,,37771
Belize,BLZ,1910,,,,41386
Belize,BLZ,1918,,,,45533
Belize,BLZ,1920,,,,46640
Belize,BLZ,1930,,,,52902
Belize,BLZ,1940,,,,60990
Benin,BEN,1950,35.3964,1627,,2250436
Benin,BEN,1958,38.0126,1435,,2443383
Benin,BEN,1959,38.3887,1457,,2478876
Benin,BEN,1960,38.7746,1468,,2517239
Benin,BEN,1970,43.0293,1543,,3065006
Benin,BEN,1980,47.7469,1691,,3925195
Benin,BEN,1990,53.0205,1811,,5281430
Benin,BEN,2000,56.5945,1908.9366,,7221570
Benin,BEN,2010,58.3873,1854.6655,,9797446
Benin,BEN,2019,59.8875,2276.1038,,12726713
Benin,BEN,2020,60.154,2297.7698,,13070131
Benin,BEN,2023,60.7738,,,14110987
Benin,BEN,1800,,,,636559
Benin,BEN,1850,,,,789547
Benin,BEN,1900,,,,1187522
Benin,BEN,1910,,,,1306722
Benin,BEN,1918,,,,1402597
Benin,BEN,1920,,,,1429764
Benin,BEN,1930,,,,1650885
Benin,BEN,1940,,,,1902827
Bermuda,BMU,1950,60.3573,,,37193
Bermuda,BMU,1958,65.206,,,41190
Bermuda,BMU,1959,65.692,,,41610
Bermuda,BMU,1960,66.4822,,,42183
Bermuda,BMU,1970,68.4038,,,52097
Bermuda,BMU,1980,72.6659,,,53657
Bermuda,BMU,1990,73.9523,,,57539
Bermuda,BMU,2000,78.2508,,,61528
Bermuda,BMU,2010,79.4139,,,63708
Bermuda,BMU,2019,81.2507,,,64083
Bermuda,BMU,2020,81.4562,,,64354
Bermuda,BMU,2023,82.3089,,,64676
Bermuda,BMU,1800,,,,9692
Bhutan,BTN,1950,35.3081,,,169947
Bhutan,BTN,1958,35.9148,,,211722
Bhutan,BTN,1959,36.1217,,,217784
Bhutan,BTN,1960,36.3674,,,224064
Bhutan,BTN,1970,41.1854,,,308484
Bhutan,BTN,1980,48.1981,,,433354
Bhutan,BTN,1990,55.811,,,589259
Bhutan,BTN,2000,61.8417,,,596815
Bhutan,BTN,2010,68.7648,,,701585
Bhutan,BTN,2019,72.0049,,,764777
Bhutan,BTN,2020,72.2531,,,769966
Bhutan,BTN,2023,72.9753,,,786330
Bhutan,BTN,1800,,,,392287
Bhutan,BTN,1850,,,,337593
Bhutan,BTN,1900,,,,269139
Bhutan,BTN,1910,,,,257966
Bhutan,BTN,1918,,,,258029
Bhutan,BTN,1920,,,,258029
Bhutan,BTN,1930,,,,258029
Bhutan,BTN,1940,,,,251726
Bolivia,BOL,1900,26,1462,,1813429
Bolivia,BOL,1910,28,1714,,2017450
Bolivia,BOL,1920,31,1932,,2354214
Bolivia,BOL,1930,33,2281,,2647402
Bolivia,BOL,1940,36,2667,,2955228
Bolivia,BOL,1950,40.7034,3011,,3089932
Bolivia,BOL,1958,42.7205,2576,,3556501
Bolivia,BOL,1959,43.0097,2511,,3628138
Bolivia,BOL,1960,43.3382,2560,,3702263
Bolivia,BOL,1970,47.1027,3469,,4589963
Bolivia,BOL,1980,51.8285,4100,,5758853
Bolivia,BOL,1990,56.7967,3502,,7130085
Bolivia,BOL,2000,62.0572,4173.5493,,8606277
Bolivia,BOL,2010,66.0033,5141.759,,10182290
Bolivia,BOL,2019,67.8198,6730.809,,11671329
Bolivia,BOL,2020,62.906,6062.065,,11816245
Bolivia,BOL,2023,68.5814,,,12244104
Bolivia,BOL,1918,,1965,,2289257
Bolivia,BOL,1800,,,,887000
Bolivia,BOL,1850,,,,1371417
Bonaire Sint Eustatius and Saba,BES,1950,61.5189,,,6977
Bonaire Sint Eustatius and Saba,BES,1958,68.431,,,7658
Bonaire Sint Eustatius and Saba,BES,1959,68.3297,,,7719
Bonaire Sint Eustatius and Saba,BES,1960,68.5159,,,7812
Bonaire Sint Eustatius and Saba,BES,1970,73.2707,,,9845
Bonaire Sint Eustatius and Saba,BES,1980,72.9844,,,11757
Bonaire Sint Eustatius and Saba,BES,1990,74.2827,,,12909
Bonaire Sint Eustatius and Saba,BES,2000,76.088,,,14202
Bonaire Sint Eustatius and Saba,BES,2010,76.7429,,,20535
Bonaire Sint Eustatius and Saba,BES,2019,77.2373,,,25605
Bonaire Sint Eustatius and Saba,BES,2020,77.213,,,26422
Bonaire Sint Eustatius and Saba,BES,2023,77.4355,,,29870
Bosnia and Herzegovina,BIH,1950,47.3318,,,2690354
Bosnia and Herzegovina,BIH,1958,56.1637,2284,,3145372
Bosnia and Herzegovina,BIH,1959,57.605,2667,,3212329
Bosnia and Herzegovina,BIH,1960,58.5297,2871,,3281335
Bosnia and Herzegovina,BIH,1970,64.8442,4251,,3773194
Bosnia and Herzegovina,BIH,1980,69.6033,6588,,4148380
Bosnia and Herzegovina,BIH,1990,71.5093,5893,,4448604
Bosnia and Herzegovina,BIH,2000,75.292,7082.035,,4159737
Bosnia and Herzegovina,BIH,2010,76.827,8982.458,,3811423
Bosnia and Herzegovina,BIH,2019,77.3939,11048.235,,3345480
Bosnia and Herzegovina,BIH,2020,76.0395,10736.168,,3299297
Bosnia and Herzegovina,BIH,2023,77.8504,,,3185033
Bosnia and Herzegovina,BIH,1800,,,,851806
Bosnia and Herzegovina,BIH,1850,,,,1024184
Bosnia and Herzegovina,BIH,1900,,,,1764005
Bosnia and Herzegovina,BIH,1910,,,,1974663
Bosnia and Herzegovina,BIH,1918,,,,2102589
Bosnia and Herzegovina,BIH,1920,,,,2134369
Bosnia and Herzegovina,BIH,1930,,,,2300619
Bosnia and Herzegovina,BIH,1940,,,,2479819
Botswana,BWA,1950,46.1706,489,,413657
Botswana,BWA,1958,50.0894,550,,494058
Botswana,BWA,1959,50.6686,559,,504848
Botswana,BWA,1960,51.2198,564,,516131
Botswana,BWA,1970,56.4464,907,,590287
Botswana,BWA,1980,62.5267,2348,,937455
Botswana,BWA,1990,60.104,5267,,1305648
