Appendix table S1. Total number of site years by cause and source type for GBD2023,,,,,,,,,,
Cause,Level,Vital Registration,Vital Registration - Sample,Verbal Autopsy,Surveillance,Survey/Census,Sibling History,MITS diagnosed,Cancer Registry,Police or Forensic Medicine Reports
Malignant neoplasm of bone and articular cartilage,3,17676,953,,,,,,1664,
Breast cancer,3,19691,953,525,1,,,,1453,
Cervical cancer,3,19189,953,186,,,,,1216,
Uterine cancer,3,19188,953,183,,,,,1286,
Ovarian cancer,3,18901,953,,,,,,1251,
Prostate cancer,3,19188,953,,,,,,1185,
Testicular cancer,3,18133,953,,,,,,1273,
Kidney cancer,3,18901,953,,,,,1,1383,
Bladder cancer,3,18901,953,,,,,,1202,
Brain and central nervous system cancer,3,18902,953,184,,,,,1392,
Eye cancer,3,16591,576,,,,,,1475,
Retinoblastoma,4,16501,576,,,,,,1362,
Other eye cancers,4,16512,576,,,,,,1367,
Neuroblastoma and other peripheral nervous cell tumors,3,16512,576,,,,,,1437,
Thyroid cancer,3,18900,953,,,,,,1374,
Mesothelioma,3,12575,576,,,,,,1323,
Hodgkin lymphoma,3,18900,953,,,,,,1415,
Non-Hodgkin lymphoma,3,18902,953,,,,,,1809,
Burkitt lymphoma,4,16512,576,,,,,,1799,
Other non-Hodgkin lymphoma,4,16512,576,,,,,,1793,
Multiple myeloma,3,18282,953,,,,,,1305,
Leukemia,3,19690,953,187,650,,,5,1882,
Acute lymphoid leukemia,4,15734,576,,,,,3,1249,
Chronic lymphoid leukemia,4,15511,576,,,,,,1172,
Acute myeloid leukemia,4,15730,576,,,,,4,1250,
Chronic myeloid leukemia,4,15686,576,,,,,,1233,
Other leukemia,4,15690,576,,,,,,1099,
Other malignant neoplasms,3,18902,953,,72,,,2,1455,
Other neoplasms,3,16178,576,,,,,,163,
"Myelodysplastic, myeloproliferative, and other hematopoietic neoplasms",4,16060,576,,,,,,,
Low-grade brain and other central nervous system neoplasms,4,16057,576,,,,,,163,
Other benign and in situ neoplasms,4,4363,,,,,,,,
Cardiovascular diseases,2,19710,953,1897,1,,,4,,
Rheumatic heart disease,3,18904,953,187,,,,,,
Ischemic heart disease,3,19203,953,1600,,,,,,
Stroke,3,19705,953,1431,1,,,,,
Ischemic stroke,4,17395,953,,,,,,,
Intracerebral hemorrhage,4,17388,953,,,,,,,
Subarachnoid hemorrhage,4,17388,953,,,,,,,
Hypertensive heart disease,3,18264,953,,,,,,,
Non-rheumatic valvular heart disease,3,17558,953,,,,,,,
Non-rheumatic calcific aortic valve disease,4,16936,576,,,,,,,
Non-rheumatic degenerative mitral valve disease,4,16936,576,,,,,,,
Other non-rheumatic valve diseases,4,16827,576,,,,,,,
Cardiomyopathy and myocarditis,3,18265,953,,,,,4,,
Myocarditis,4,17106,576,,,,,4,,
Alcoholic cardiomyopathy,4,17106,576,,,,,,,
Other cardiomyopathy,4,17106,576,,,,,2,,
Pulmonary Arterial Hypertension,3,16060,576,,,,,,,
Atrial fibrillation and flutter,3,16591,576,,,,,,,
Aortic aneurysm,3,17475,576,,,,,,,
Lower extremity peripheral arterial disease,3,16039,576,,,,,,,
Endocarditis,3,17468,953,,,,,,,
Other cardiovascular and circulatory diseases,3,18264,953,,,,,,,
Chronic respiratory diseases,2,18804,953,1739,,,,6,,
Chronic obstructive pulmonary disease,3,17474,953,,,,,,,
Pneumoconiosis,3,17269,576,,,,,,,
Silicosis,4,17146,576,,,,,,,
Asbestosis,4,17146,576,,,,,,,
Coal workers pneumoconiosis,4,17137,576,,,,,,,
Other pneumoconiosis,4,17129,576,,,,,,,
Asthma,3,17467,576,,,,,3,,
Interstitial lung disease and pulmonary sarcoidosis,3,17467,576,,,,,1,,
Other chronic respiratory diseases,3,17474,953,,,,,4,,
Digestive diseases,2,19191,953,1746,,,,8,,
Cirrhosis and other chronic liver diseases,3,19191,953,1614,,,,6,,
Chronic hepatitis B including cirrhosis,4,16060,576,,,,,,,
Chronic hepatitis C including cirrhosis,4,16060,576,,,,,,,
Cirrhosis due to alcohol,4,16060,576,,,,,,,
Nonalcoholic fatty liver disease including cirrhosis,4,16060,576,,,,,,,
Cirrhosis due to other causes,4,16060,576,,,,,,,
Upper digestive system diseases,3,19190,953,625,,,,,,
Peptic ulcer disease,4,17797,576,,,,,,,
Gastritis and duodenitis,4,17786,576,,,,,,,
Appendicitis,3,19189,953,438,,,,,,
Paralytic ileus and intestinal obstruction,3,18902,953,657,,,,4,,
"Inguinal, femoral, and abdominal hernia",3,18684,576,708,,,,,,
Inflammatory bowel disease,3,17474,576,,,,,,,
Ulcerative colitis,4,16060,576,,,,,,,
Crohn's disease,4,16060,576,,,,,,,
Vascular intestinal disorders,3,17388,576,,,,,,,
Gallbladder and biliary diseases,3,18977,953,,,,,,,
Pancreatitis,3,17793,576,,,,,,,
Diverticular disease of intestines,3,16136,576,,,,,,,
Other digestive diseases,3,18862,953,,,,,,,
Neurological disorders,2,19188,953,1274,,,,3,,
Alzheimer's disease and other dementias,3,18900,953,,,,,,,
Parkinson's disease,3,18093,953,,,,,,,
Idiopathic epilepsy,3,18979,953,1227,,,,3,,
Multiple sclerosis,3,18309,894,,,,,,,
Motor neuron disease,3,17208,953,,,,,2,,
Other neurological disorders,3,18302,953,,,,,,,
Mental disorders,2,15733,504,10,,,,,,
Eating disorders,3,15733,504,,,,,,,
Anorexia nervosa,4,14673,504,,,,,,,
Substance use disorders,2,19141,953,618,,,,,,64
Alcohol use disorders,3,19141,953,599,,,,,,
Drug use disorders,3,19136,953,539,,,,,,64
Opioid use disorders,4,16930,576,,,,,,,
Cocaine use disorders,4,16927,576,,,,,,,
Amphetamine use disorders,4,16927,576,,,,,,,
Other drug use disorders,4,16932,576,,,,,,,
Diabetes and kidney diseases,2,19693,953,1841,,,,2,,
Diabetes mellitus,3,19191,953,1629,,,,2,,
Diabetes mellitus type 1,4,17419,576,,,,,2,,
Diabetes mellitus type 2,4,17419,576,,,,,,,
Chronic kidney disease,3,19407,953,1485,,,,,,
Chronic kidney disease due to diabetes mellitus type 1,4,11699,576,,,,,,,
Chronic kidney disease due to diabetes mellitus type 2,4,11699,576,,,,,,,
Chronic kidney disease due to hypertension,4,16060,576,,,,,,,
Chronic kidney disease due to glomerulonephritis,4,16060,576,,,,,,,
Chronic kidney disease due to other and unspecified causes,4,16060,576,,,,,,,
Acute glomerulonephritis,3,17465,953,,,,,,,
Skin and subcutaneous diseases,2,19179,953,397,,,,6,,
Bacterial skin diseases,3,19179,953,373,,,,6,,
Cellulitis,4,16055,576,,,,,1,,
Pyoderma,4,16060,576,,,,,6,,
Decubitus ulcer,3,17503,953,194,,,,,,
Other skin and subcutaneous diseases,3,16586,953,,,,,,,
Musculoskeletal disorders,2,18303,953,562,,,,,,
Rheumatoid arthritis,3,17383,953,,,,,,,
Other musculoskeletal disorders,3,17475,953,,,,,,,
Other non-communicable diseases,2,19716,953,1828,683,,,10,,
Congenital birth defects,3,19716,953,1743,683,,,10,,
Neural tube defects,4,16146,953,,590,,,10,,
Congenital heart anomalies,4,16765,953,,680,,,10,,
Orofacial clefts,4,15904,576,,,,,4,,
Down syndrome,4,16067,953,,593,,,6,,
Other chromosomal abnormalities,4,16058,576,,,,,10,,
Congenital musculoskeletal and limb anomalies,4,16058,576,,,,,8,,
Urogenital congenital anomalies,4,16058,576,,500,,,7,,
Digestive congenital anomalies,4,16060,576,,,,,8,,
Other congenital birth defects,4,19389,953,,,,,10,,
Urinary diseases and male infertility,3,19187,953,672,,,,,,
Urinary tract infections and interstitial nephritis,4,18567,953,172,,,,,,
Urolithiasis,4,17464,953,150,,,,,,
Other urinary diseases,4,16591,953,,,,,,,
Gynecological diseases,3,18900,953,918,,,,,,
Uterine fibroids,4,16512,576,102,,,,,,
Endometriosis,4,15858,576,,,,,,,
Genital prolapse,4,16188,576,,,,,,,
Other gynecological diseases,4,16682,576,,,,,,,
Hemoglobinopathies and hemolytic anemias,3,19186,953,1275,,,,4,,
Thalassemias,4,17793,953,158,,,,,,
Sickle cell disorders,4,17474,953,357,,,,3,,
G6PD deficiency,4,14930,504,,,,,,,
Other hemoglobinopathies and hemolytic anemias,4,17474,953,,,,,1,,
"Endocrine, metabolic, blood, and immune disorders",3,19188,953,988,,,,5,,
Thyroid diseases,4,16067,576,,,,,,,
"Other endocrine, metabolic, blood, and immune disorders",4,16067,576,,,,,5,,
Sudden infant death syndrome,3,13304,36,,,,,,,
Injuries,1,19693,953,2037,2094,33,,8,,1616
Transport injuries,2,19094,953,1252,,12,,2,,60
Road injuries,3,18553,953,188,,12,,2,,60
Pedestrian road injuries,4,16591,576,188,,,,2,,55
Cyclist road injuries,4,16590,576,185,,,,,,33
Motorcyclist road injuries,4,16591,576,187,,2,,,,35
Motor vehicle road injuries,4,16591,576,187,,8,,,,46
Other road injuries,4,16591,576,185,,,,,,34
Other transport injuries,3,17380,576,186,,,,,,
Unintentional injuries,2,19691,953,1682,678,12,,8,,223
Falls,3,19189,953,1301,654,3,,,,
Drowning,3,19690,953,1391,647,3,,2,,223
"Fire, heat, and hot substances",3,19188,953,1395,,1,,4,,191
Poisonings,3,19188,953,506,582,,,5,,188
Poisoning by carbon monoxide,4,18329,953,108,,,,2,,188
Poisoning by other means,4,16371,953,,,,,5,,
Exposure to mechanical forces,3,18901,953,402,669,8,,2,,
Unintentional firearm injuries,4,17189,953,314,,1,,,,
Other exposure to mechanical forces,4,16591,953,389,669,4,,2,,
Adverse effects of medical treatment,3,18900,953,187,,,,,,
Animal contact,3,18621,953,1257,,1,,,,
Venomous animal contact,4,16917,953,525,,,,,,
Non-venomous animal contact,4,16591,953,,,,,,,
Foreign body,3,18303,953,396,,,,7,,
Pulmonary aspiration and foreign body in airway,4,16592,953,186,,,,6,,
Foreign body in other body part,4,16591,953,,,,,,,
Electrocution,3,16590,576,19,,,,,,
Environmental heat and cold exposure,3,19179,953,300,,,,,,
Exposure to forces of nature,3,18859,953,330,,5,,,,
Other unintentional injuries (internal),3,18902,953,397,,1,,,,
Self-harm and interpersonal violence,2,19693,953,1646,1416,12,,4,,1333
Self-harm,3,19191,953,1592,12,3,,,,
"Self-harm by hanging, strangulation, and suffocation",4,16126,576,,,,,,,
"Self-harm by fire, heat, and hot substances",4,16123,576,,,,,,,
Self-harm by firearm,4,16127,576,,,,,,,
Self-harm by poisoning pesticides,4,16044,576,,,,,,,
Self-harm by non pesticide substance and gas,4,18033,576,272,,,,,,
Self-harm by other specified means,4,16127,576,,,,,,,
Interpersonal violence,3,19447,953,1430,,7,,4,,1333
Physical violence by firearm,4,16347,576,383,,3,,2,,33
Physical violence by sharp object,4,16347,576,395,,,,,,33
Physical violence by other means,4,16347,576,397,,,,2,,33
Conflict and terrorism,3,18054,953,125,,3,,,,
Police conflict and executions,3,17452,953,125,1404,,,,,
